temperature,humidity,wind_speed,visibility,clouds,pressure,rain_1h,will_rain,comfort_level
16.5,20.6,3.13,6.89,43.0,992.0,0.0,0,1
-6.5,62.4,6.72,8.0,31.0,1007.3,0.0,0,0
-6.0,45.3,12.0,6.04,29.2,1021.7,0.0,0,0
32.9,13.6,12.01,1.14,24.2,1039.2,2.49,1,0
24.0,73.2,13.99,0.2,32.6,1011.1,1.75,1,1
-8.2,17.1,9.92,1.41,56.8,1021.4,0.0,0,0
1.0,25.1,2.61,6.4,70.6,981.9,0.0,0,1
-7.1,58.7,17.73,8.72,71.4,1028.1,0.0,0,0
34.8,17.2,22.37,5.52,81.7,1007.1,0.0,0,0
19.0,75.8,2.04,0.7,24.7,989.6,0.0,0,1
2.1,97.8,8.42,1.9,79.0,1019.5,2.78,1,0
29.6,30.6,24.91,9.75,65.0,992.0,0.0,0,1
-6.0,12.8,6.44,4.68,86.8,1023.6,0.0,0,0
13.4,41.1,9.28,9.88,4.0,1032.0,0.0,0,2
14.1,75.3,12.17,8.75,90.1,1005.3,2.96,1,0
40.2,29.0,15.57,6.35,73.3,987.9,0.0,0,0
40.0,26.2,5.94,9.72,18.1,1031.3,0.0,0,0
3.6,88.4,11.13,5.2,35.9,1015.6,1.96,1,0
43.3,33.2,16.42,3.32,77.3,987.9,0.0,0,0
15.0,31.2,1.84,1.78,52.0,1000.2,0.0,0,1
13.7,32.4,15.43,7.1,16.7,990.1,3.68,1,0
26.5,52.7,21.1,8.08,58.5,1032.1,0.0,0,1
-3.8,34.3,1.43,5.36,93.7,982.4,2.26,1,0
41.4,38.5,12.68,0.51,14.8,1039.2,0.0,0,0
-9.7,95.7,15.98,8.69,45.5,1010.9,0.0,0,0
26.7,22.6,0.75,3.15,70.5,992.1,0.0,0,1
43.3,18.5,16.82,4.49,86.8,990.6,0.0,0,0
36.1,95.0,17.08,5.02,61.8,1032.1,0.0,0,0
-8.3,93.8,17.24,6.8,21.6,1019.5,0.0,0,0
25.8,19.6,16.45,9.99,4.8,1038.6,0.0,0,1
37.9,80.4,14.18,7.41,87.9,1004.2,3.34,1,0
34.4,78.6,19.95,4.41,81.8,987.2,0.03,1,0
7.9,43.0,9.9,6.99,38.9,1006.9,0.0,0,1
10.5,30.5,1.83,6.07,66.8,1017.2,0.0,0,1
10.9,87.7,12.98,4.84,2.6,1000.5,0.0,0,0
11.9,62.2,13.34,6.12,76.5,1028.8,0.0,0,1
42.6,11.6,4.89,0.17,64.7,1033.9,4.64,1,0
-6.7,94.1,8.79,1.1,48.6,995.4,1.54,1,0
34.2,58.5,7.78,6.14,71.6,996.4,0.61,1,1
-0.0,71.3,4.54,5.3,70.9,986.4,1.28,1,0
43.0,53.5,20.15,5.55,4.3,1018.0,0.0,0,0
23.1,83.7,22.11,2.36,21.2,1016.7,0.0,0,1
36.2,91.0,8.84,2.45,78.1,996.5,2.12,1,0
26.7,18.6,15.6,4.57,58.7,990.1,0.0,0,0
37.5,29.5,2.39,0.33,64.2,1016.4,0.0,0,1
2.8,45.2,14.86,5.02,98.8,988.2,0.0,0,1
12.2,48.5,17.94,6.96,99.1,987.7,3.62,1,1
21.8,34.7,1.99,0.95,89.4,991.5,1.13,1,1
9.5,16.2,12.98,0.77,80.0,994.0,4.4,1,0
25.8,58.0,8.11,3.4,66.9,1039.6,0.0,0,2
20.7,75.8,11.63,0.7,56.2,1037.5,3.45,1,0
1.1,58.2,2.42,4.56,75.6,1000.9,0.0,0,1
33.7,93.4,5.87,4.05,15.2,1039.5,0.0,0,0
19.7,85.8,13.02,6.27,8.9,1025.3,4.13,1,1
33.0,73.8,0.9,3.1,26.3,1001.6,4.68,1,0
20.5,37.5,9.92,4.53,60.1,1010.9,0.0,0,2
17.3,99.3,21.29,2.16,93.1,987.0,1.9,1,0
38.3,88.1,20.15,7.92,30.5,984.9,0.87,1,0
28.2,41.1,24.39,6.45,82.2,988.0,0.0,0,1
40.8,53.8,15.16,7.67,17.5,1010.2,0.0,0,0
-1.9,43.1,1.7,0.36,13.5,1037.8,0.0,0,1
43.1,48.9,7.8,5.11,44.0,986.3,0.0,0,1
1.9,65.8,16.26,1.61,6.1,1026.8,0.0,0,0
-6.8,99.5,1.44,6.98,98.4,994.4,0.61,1,0
6.7,19.1,17.3,0.72,50.9,1039.8,0.0,0,0
23.8,37.6,15.6,5.32,42.6,987.8,0.0,0,2
14.7,27.5,9.19,4.2,82.8,1024.0,0.0,0,1
-9.4,47.5,12.03,0.29,26.0,1025.6,2.68,1,0
1.8,11.1,6.03,9.76,80.2,1037.6,0.0,0,0
-4.0,59.3,11.36,8.46,9.8,1009.3,0.0,0,0
7.9,76.4,11.9,3.82,39.4,1007.6,0.0,0,0
39.1,96.0,19.67,3.22,68.8,1006.3,4.2,1,0
-7.9,91.2,11.54,6.41,65.9,1033.7,0.0,0,0
23.8,16.0,12.96,1.59,73.7,1010.7,0.0,0,1
-7.7,17.6,17.91,0.81,7.1,980.7,0.0,0,0
30.6,41.8,7.41,3.56,77.5,1019.7,0.87,1,1
-4.6,69.4,19.11,2.72,2.1,984.9,0.0,0,0
6.2,79.2,15.62,3.88,20.6,987.3,0.0,0,0
32.6,68.0,13.26,0.52,96.8,1027.9,4.9,1,0
23.1,62.4,18.7,8.14,65.6,987.7,4.64,1,1
2.4,43.5,10.8,4.45,61.3,1036.6,0.61,1,0
0.9,89.8,16.15,2.93,81.6,1031.7,0.0,0,0
40.5,32.7,18.88,4.66,84.2,1023.7,0.0,0,0
26.1,26.0,13.63,9.85,93.7,982.6,0.66,1,1
29.9,83.6,5.34,5.11,84.1,1024.0,2.95,1,0
18.0,36.8,14.13,6.92,87.3,1018.2,0.0,0,1
-1.2,51.5,0.23,2.54,72.6,1039.5,2.01,1,0
34.0,28.4,13.88,7.36,61.6,991.3,3.92,1,0
20.5,10.5,19.02,0.45,74.6,992.1,0.0,0,1
10.2,39.4,3.72,3.13,87.7,1039.8,0.0,0,2
14.7,75.0,22.15,5.97,39.2,1004.8,0.0,0,1
-9.8,65.8,8.89,7.96,9.3,1015.3,0.0,0,0
25.3,15.8,14.5,5.66,56.1,1016.2,0.0,0,1
34.3,34.3,20.63,5.03,7.7,983.5,0.0,0,0
33.2,73.7,19.72,5.22,44.0,988.8,2.17,1,0
-5.1,29.9,14.96,7.38,99.8,1036.0,0.0,0,0
13.2,67.3,19.64,1.27,41.0,1030.4,0.0,0,1
21.5,62.9,4.61,3.69,33.5,981.6,4.16,1,1
5.0,56.6,7.47,9.41,25.9,1005.8,0.0,0,1
36.3,26.7,20.07,4.64,48.3,988.0,3.64,1,0
17.3,49.3,18.24,7.68,15.9,1016.6,0.0,0,1
31.3,69.1,23.92,0.78,5.7,996.9,1.23,1,0
39.8,32.5,6.8,7.62,45.0,1026.6,0.0,0,0
16.8,13.0,1.57,9.07,13.9,1011.9,0.0,0,1
9.1,91.0,0.55,6.67,96.3,1013.6,0.0,0,1
-7.1,47.7,6.5,7.34,98.1,995.4,0.0,0,1
0.9,60.9,11.6,9.72,60.9,1001.0,0.76,1,0
2.4,32.6,21.27,5.66,52.3,986.9,0.0,0,0
29.8,16.1,17.7,5.48,8.2,1007.5,0.0,0,0
-0.9,95.1,21.25,6.72,46.2,1004.7,0.0,0,0
20.0,15.6,12.81,8.08,45.9,983.1,0.0,0,1
1.1,33.3,4.12,3.37,75.7,1011.2,4.39,1,0
38.4,88.4,5.97,4.57,98.5,1026.3,0.33,1,0
15.5,91.8,13.47,5.03,10.5,1019.4,0.0,0,0
10.9,79.8,24.11,2.12,52.3,997.2,0.0,0,0
21.8,67.1,19.95,4.02,91.5,1012.0,3.48,1,1
33.6,38.5,21.43,9.07,27.7,1039.0,0.0,0,1
1.1,26.6,22.35,6.58,15.2,1006.4,0.0,0,0
-5.4,89.4,20.09,5.1,96.7,1005.1,0.0,0,0
26.7,67.1,4.15,8.83,42.7,989.7,2.8,1,1
19.0,74.7,22.26,0.89,73.1,991.2,4.1,1,1
19.7,73.9,7.86,4.76,82.2,1007.6,2.47,1,1
35.6,40.2,4.34,7.15,82.6,986.0,0.71,1,1
9.1,50.5,18.72,6.55,62.1,1001.1,0.0,0,1
15.9,98.1,15.85,1.35,67.6,999.5,0.35,1,0
-0.4,87.0,5.68,8.39,27.9,1018.6,0.0,0,0
18.2,37.5,5.32,0.43,30.4,1019.2,0.0,0,2
37.9,78.9,19.71,6.68,26.0,1034.4,0.0,0,0
20.8,20.0,11.18,4.66,86.5,1012.8,0.0,0,1
43.7,20.0,10.56,0.52,74.0,1035.1,4.29,1,0
6.1,92.0,18.85,8.07,1.8,1037.8,0.0,0,0
6.8,84.6,7.04,8.74,11.3,1022.2,0.0,0,0
-4.7,31.8,0.31,4.74,30.1,1015.9,0.0,0,1
6.5,76.9,1.2,9.04,85.2,1020.1,0.0,0,1
39.1,26.7,1.97,2.47,79.5,982.1,4.98,1,0
37.1,56.9,1.59,8.33,59.9,986.9,4.55,1,1
26.8,84.6,21.97,5.76,51.7,1005.8,0.0,0,0
13.9,79.6,15.05,8.94,44.3,1016.4,0.0,0,1
22.5,73.2,5.94,5.17,10.4,1003.1,0.0,0,2
25.9,95.5,15.02,7.46,50.6,1018.0,1.27,1,1
9.9,52.5,1.14,1.49,27.7,1038.3,0.0,0,1
16.5,27.6,15.27,2.88,20.7,1011.0,0.04,1,0
2.0,13.3,2.7,3.45,80.3,1014.3,0.0,0,0
6.1,93.9,9.93,0.96,61.7,986.8,2.54,1,0
38.1,54.4,17.56,9.93,13.1,996.5,0.0,0,0
13.2,47.0,22.69,7.17,60.8,998.6,0.0,0,1
42.5,83.9,0.04,6.4,5.1,995.5,3.02,1,0
27.8,20.3,9.6,4.62,36.9,987.3,0.0,0,1
31.3,16.4,2.0,3.61,94.2,1020.1,0.0,0,1
9.9,63.4,0.25,6.4,91.3,1016.8,0.0,0,1
29.8,20.9,22.56,0.76,53.4,988.5,2.11,1,0
6.2,53.7,14.43,0.53,12.3,1013.5,0.0,0,0
30.1,68.7,21.14,6.96,43.0,1020.4,0.0,0,1
6.8,81.0,11.16,8.0,82.2,1031.5,0.0,0,0
13.7,38.7,14.55,3.77,60.1,1022.3,0.0,0,1
10.6,25.0,10.76,1.51,89.0,1000.8,0.13,1,0
25.5,67.3,8.52,0.81,41.0,998.7,0.0,0,1
23.3,42.8,5.45,9.88,45.4,1021.3,0.0,0,2
16.7,12.5,12.64,9.64,38.4,982.3,1.94,1,0
-1.2,12.1,18.91,4.64,28.9,1034.0,0.0,0,0
42.6,38.3,22.21,6.07,82.7,1039.0,4.81,1,0
11.4,44.7,8.51,5.46,15.4,1013.2,0.0,0,1
31.9,85.0,11.01,3.09,25.9,991.7,1.71,1,0
4.9,97.0,13.94,3.54,58.0,988.4,3.13,1,0
16.9,46.2,24.85,8.82,62.3,1014.2,0.0,0,1
1.1,45.6,0.99,4.81,54.3,993.7,0.0,0,1
40.0,75.0,13.33,8.71,13.1,1027.4,3.97,1,0
5.2,88.9,23.6,1.57,46.3,1038.9,0.0,0,0
37.5,63.0,9.38,2.93,20.3,1025.7,0.0,0,0
18.1,54.3,14.43,8.67,98.1,1004.5,0.0,0,2
32.0,61.6,23.9,2.08,10.9,1031.2,0.0,0,0
36.6,90.4,1.56,8.85,44.8,1010.6,0.0,0,1
41.0,11.7,11.92,6.91,72.3,1021.6,1.5,1,0
9.7,82.4,6.97,2.19,95.7,980.5,0.0,0,0
27.2,84.6,7.37,0.24,73.8,1030.0,0.0,0,1
-2.1,77.8,19.22,6.62,76.6,1030.8,0.0,0,0
-5.1,53.9,1.94,4.13,40.7,984.0,0.0,0,1
-3.9,82.7,23.69,0.82,95.5,1011.4,0.38,1,0
17.5,81.5,17.68,0.6,7.3,1004.2,1.16,1,0
5.5,82.3,23.23,4.11,90.6,999.3,1.13,1,0
25.2,98.1,15.09,3.64,64.8,987.4,0.0,0,1
17.7,50.4,14.65,6.29,7.2,1021.0,0.0,0,1
29.3,84.0,20.1,5.57,52.0,988.6,0.0,0,0
4.9,54.7,7.11,1.42,63.0,983.3,0.0,0,1
7.5,10.0,12.78,0.56,27.6,1022.4,4.2,1,0
-9.8,32.2,18.52,3.23,10.2,1001.6,0.0,0,0
36.3,38.2,19.72,8.93,43.4,1034.6,0.0,0,1
43.0,18.0,17.18,4.99,38.8,1018.0,0.0,0,0
-9.8,25.0,17.83,6.7,96.6,1025.7,0.0,0,0
28.6,36.8,2.63,7.84,64.4,982.9,4.78,1,1
17.5,48.9,11.44,2.17,36.9,1002.2,3.84,1,1
12.9,84.0,21.26,2.2,65.7,1008.3,0.0,0,0
1.9,71.0,15.19,3.02,13.7,1019.1,0.0,0,0
7.4,68.0,9.88,7.16,19.9,1033.4,0.0,0,1
10.2,15.2,2.79,5.21,26.8,1030.1,0.0,0,1
10.9,40.4,0.48,1.33,41.4,1009.6,0.0,0,2
19.2,63.6,0.25,4.69,96.3,1011.1,0.0,0,2
7.2,79.7,19.32,5.26,97.6,987.5,3.85,1,0
34.4,20.8,6.64,0.27,29.3,1026.4,0.0,0,0
9.1,43.5,0.03,3.07,64.6,1038.5,0.0,0,1
-8.7,90.9,19.58,7.83,45.8,1003.9,0.0,0,0
-6.4,30.5,6.17,4.89,74.7,1008.4,4.79,1,0
41.8,80.7,24.78,5.49,96.3,984.5,1.13,1,0
0.8,22.7,15.56,7.84,57.8,988.8,0.0,0,0
25.0,44.9,16.85,2.67,34.5,1035.0,0.0,0,1
15.8,90.1,17.69,0.72,14.7,980.5,0.0,0,0
14.6,22.1,23.95,5.34,24.2,1010.0,0.0,0,0
-5.8,34.7,20.17,4.65,54.7,1006.0,0.0,0,0
-0.9,50.1,5.23,0.59,84.4,1038.9,0.0,0,0
37.0,31.8,24.02,2.05,95.1,1039.7,0.0,0,0
44.0,61.3,6.49,4.43,59.4,984.4,0.0,0,0
44.0,27.1,19.81,9.09,94.4,1037.6,0.0,0,0
43.8,78.2,4.04,4.82,71.8,994.8,3.33,1,0
-1.1,60.9,19.29,5.04,1.2,980.5,0.0,0,0
40.9,30.6,15.86,2.3,32.2,1030.9,0.0,0,0
-4.8,48.6,0.73,4.86,66.2,987.1,1.99,1,1
40.6,99.4,1.12,7.63,37.2,1003.5,0.0,0,0
40.5,95.6,14.43,3.64,78.8,995.1,1.79,1,0
26.1,31.6,4.79,9.19,10.2,1010.4,0.0,0,2
-7.9,13.2,4.38,8.68,28.2,1037.0,0.0,0,0
14.0,62.2,12.92,7.61,28.2,1001.2,0.0,0,1
42.1,90.3,10.49,7.83,47.6,1009.9,2.96,1,0
0.2,39.8,21.38,2.15,7.1,984.1,0.0,0,0
17.9,46.8,20.27,8.37,33.2,1021.6,0.0,0,1
26.0,23.6,21.9,5.44,28.2,1005.5,0.0,0,0
-3.0,78.9,0.0,4.22,52.3,983.3,0.0,0,0
2.4,37.4,7.6,2.38,0.1,1023.8,0.0,0,1
2.3,69.7,18.55,8.5,42.3,998.2,0.0,0,0
29.2,83.5,4.54,3.77,90.2,1028.4,0.0,0,1
31.5,45.4,14.77,6.64,7.8,1012.7,0.0,0,1
-0.8,80.3,14.59,9.53,4.2,995.9,0.0,0,0
6.3,74.3,18.98,1.11,51.4,1010.5,4.66,1,0
35.5,72.7,17.86,4.67,92.1,1021.7,0.0,0,0
37.4,34.7,20.18,2.03,34.5,1000.1,0.0,0,0
37.1,73.1,18.18,5.66,94.7,1009.8,0.82,1,0
33.2,76.1,9.61,0.35,83.9,980.7,4.85,1,0
14.1,31.1,17.62,8.19,54.6,1038.0,0.0,0,1
17.8,74.7,21.57,1.87,80.0,1013.2,0.66,1,0
37.6,24.2,7.74,2.97,87.1,1020.4,0.0,0,0
3.8,66.2,14.29,8.35,90.6,980.7,0.0,0,0
-7.1,59.4,7.19,3.14,35.3,1017.3,0.0,0,0
30.3,46.4,1.71,7.86,28.6,1006.0,0.0,0,2
8.3,15.1,9.35,9.45,64.2,1020.3,0.0,0,0
0.9,47.7,18.77,1.1,27.8,996.6,0.0,0,0
43.9,16.1,12.97,1.88,97.1,986.8,3.69,1,0
28.8,48.0,8.66,4.04,26.4,992.3,0.0,0,1
4.8,35.9,16.42,9.69,60.4,984.6,4.76,1,0
6.4,18.3,14.98,6.27,64.9,996.0,4.83,1,0
3.8,70.8,17.67,6.14,31.3,996.3,0.0,0,0
37.6,95.2,2.65,1.63,94.5,1024.2,0.0,0,0
1.1,62.9,17.53,6.83,40.8,980.9,0.0,0,0
3.9,50.5,23.94,4.05,84.0,991.3,0.0,0,1
43.7,19.2,0.21,4.39,9.3,1024.9,0.0,0,0
